Artist,ArtistImageURL,Track,Popularity,Duration_ms,Album Name,Album Type,acousticness,danceability,instrumentalness,liveness,speechiness,valence,Energia,Tempo,Loudness,Num_samples,Duration_analysis,Loudness_analysis,Tempo_analysis,Release_date_precision,Id,shape
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Anti-Hero,93,200690,Midnights,album,0.13,0.637,"0,000001800000",0.142,"0,05190","0,5330",0.643,97.008,"-6,57",4425218,200.69016,-6.645,96.888,2022-10-21,0V3wPSX9ygBnCm8psDIegu,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Blank Space,91,231827,1989 (Deluxe),album,0.103,0.76,"0,000000000000",0.0913,"0,05400","0,5700",0.703,95.997,"-5,41",5111778,231.82668,-5.412,95.997,2014-01-01,1u8c2t2Cy7UBoG4ArRcF5g,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Style,91,231000,1989 (Deluxe),album,0.00245,0.588,"0,002580000000",0.118,"0,04020","0,4870",0.791,94.933,"-5,60",5093550,231.0,-5.595,94.933,2014-01-01,0ug5NqcwcFR2xrfTkc7k8e,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Don’t Blame Me,91,236413,reputation,album,0.106,0.615,"0,000017600000",0.0607,"0,03860","0,1930",0.534,135.917,"-6,72",5212914,236.41333,-6.719,135.917,2017-11-10,1R0a2iXumgCiFb7HEZ7gUE,circle
Taylor Swift,https://i.scdn.co/image/ab6761610000e5eb6a224073987b930f99adc706,Lover,91,221307,Lover,album,0.492,0.359,"0,000015800000",0.118,"0,09190","0,4530",0.543,68.534,"-7,58",4879812,221.30667,-7.582,68.534,2019-08-23,1dGr1c8CrMLDpV6mPbImSI,circle
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,CUFF IT,87,225389,RENAISSANCE,album,0.0368,0.78,"0,000009690000",0.0698,"0,14100","0,6420",0.689,115.042,"-5,67",4969824,225.38884,-5.668,115.042,2022-07-29,1xzi1Jcr7mEi9K2RfzLOqS,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,HEATED,80,260771,RENAISSANCE,album,0.0636,0.785,"0,000807000000",0.265,"0,16400","0,4960",0.732,110.952,"-5,72",5749991,260.77057,-5.724,110.952,2022-07-29,1w7cgGZR86yWz1pA2puVJD,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,ALIEN SUPERSTAR,80,215460,RENAISSANCE,album,0.00453,0.545,"0,000065900000",0.171,"0,09980","0,4640",0.641,121.892,"-6,40",4750892,215.45995,-6.398,121.892,2022-07-29,1Hohk6AufHZOrrhMXZppax,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,BREAK MY SOUL,79,278282,RENAISSANCE,album,0.0581,0.693,"0,000002710000",0.27,"0,07950","0,8640",0.887,114.942,"-5,04",6136108,278.28156,-5.039,114.942,2022-07-29,5pyoxDZ1PX0KxBxiRVxA4U,square
Beyoncé,https://i.scdn.co/image/ab6761610000e5eb12e3f20d05a8d6cfde988715,Crazy In Love (feat. Jay-Z),79,235933,Dangerously In Love,album,0.00238,0.664,"0,000000000000",0.0598,"0,21000","0,7010",0.758,99.259,"-6,58",5202330,235.93333,-6.583,99.252,2003-03-10,0TwBtDAWpkpM3srywFVOV5,square